1528161762.9246342,-121.74808502,38.53749465,2600,144,0.65,"not reached
"
1528161763.4675212,-121.74808502,38.53749465,2600,143,0.65,"not reached
"
1528161764.010682,-121.74808502,38.53749465,2400,143,0.65,"not reached
"
1528161764.5544977,-121.74808502,38.53749465,2400,144,0.65,"not reached
"
1528161765.0983725,-121.74808502,38.53749084,2100,143,0.65,"not reached
"
1528161765.6410766,-121.74808502,38.53749084,2100,143,0.65,"not reached
"
1528161766.181405,-121.74808502,38.53749084,2000,143,0.65,"not reached
"
1528161766.7252564,-121.74808502,38.53749084,2000,143,0.65,"not reached
"
1528161767.268933,-121.74808502,38.53749084,2200,143,0.65,"not reached
"
1528161767.8128366,-121.74809265,38.53749084,2200,144,0.65,"not reached
"
1528161768.3565378,-121.74809265,38.53749084,2200,144,0.65,"not reached
"
1528161768.9002855,-121.74809265,38.53749084,2300,143,0.65,"not reached
"
1528161769.4440835,-121.74809265,38.53749084,2300,143,0.65,"not reached
"
1528161769.9878485,-121.74809265,38.53748703,2300,143,0.65,"not reached
"
1528161770.5281699,-121.74809265,38.53748703,2300,143,0.65,"not reached
"
1528161771.0757172,-121.74809265,38.53748703,2500,143,0.00,"not reached
"
1528161771.6150992,-121.74809265,38.53748703,2500,100,0.00,"not reached
"
1528161772.1587672,-121.74809265,38.53748703,2100,98,0.00,"not reached
"
1528161772.702281,-121.74809265,38.53748703,2100,75,0.00,"not reached
"
1528161773.2463114,-121.74809265,38.53748703,1500,-9,0.00,"not reached
"
1528161773.790467,-121.74809265,38.53748703,1900,-14,0.00,"not reached
"
1528161774.3339524,-121.74809265,38.53748703,1900,-7,0.00,"not reached
"
1528161774.874474,-121.74809265,38.53748703,300,-4,0.00,"not reached
"
1528161775.4176617,-121.74809265,38.53748703,300,-6,0.00,"not reached
"
1528161775.9619474,-121.74809265,38.53748703,300,-3,0.00,"not reached
"
1528161776.506235,-121.74809265,38.53748703,1200,-11,0.00,"not reached
"
1528161777.0499895,-121.74810028,38.53748703,1100,-11,0.65,"not reached
"
1528161777.5935283,-121.74810028,38.53748703,1100,-4,0.65,"not reached
"
1528161778.1375742,-121.74810028,38.53748703,1100,-4,0.65,"not reached
"
1528161778.6823041,-121.74810028,38.53748321,1300,-3,0.65,"not reached
"
1528161779.2252846,-121.74810028,38.53748321,1300,-2,0.65,"not reached
"
1528162273.4115016,-121.74813079,752136,0.05,0,0.00,"1.30
"
1528162274.8752801,-121.74813079,38.53752136,0.01,0,0.00,"0.00
"
1528162275.3917553,-121.74813079,38.53752136,0.01,0,0.00,"0.00
"
1528162275.9035048,-121.74813079,38.53752136,0.01,0,0.00,"0.00
"
1528162276.418766,-121.74813079,38.53752136,0.03,0,0.00,"0.00
"
1528162276.9357119,-121.74813079,38.53752136,0.02,0,0.00,"0.00
"
1528162277.4473522,-121.74813079,38.53752136,0.02,0,0.00,"0.65
"
1528162277.9627326,-121.74813079,38.53752136,0.02,0,0.00,"0.65
"
1528162278.4793496,-121.74813079,38.53752136,0.02,0,0.00,"0.65
"
1528162278.9958477,-121.74813079,38.53752136,0.01,0,0.00,"0.65
"
1528162279.507821,-121.74813079,38.53752136,0.01,0,0.00,"0.65
"
1528162280.023286,-121.74813079,38.53752136,0.03,0,0.00,"0.65
"
1528162280.5398123,-121.74813079,38.53752136,0.03,0,0.00,"0.00
"
1528162281.0551794,-121.74813079,38.53751754,0.02,0,0.00,"0.00
"
1528162281.5721772,-121.74813079,38.53751754,0.02,0,0.00,"0.00
"
1528162282.0837762,-121.74813079,38.53751754,0.01,0,0.00,"0.00
"
1528162282.5991387,-121.74813079,38.53751754,0.01,0,0.00,"0.00
"
1528162283.1158586,-121.74813079,38.53752136,0.05,0,0.00,"0.00
"
1528162283.6278698,-121.74813079,38.53752136,0.05,0,0.00,"0.00
"
1528162284.14383,-121.74813079,38.53752136,0.02,0,0.00,"0.00
"
1528162284.6595967,-121.74813079,38.53752136,0.02,0,0.00,"0.00
"
1528162285.1748507,-121.74813079,38.53752136,0.03,0,0.00,"0.00
"
1528162285.6881707,-121.74813079,38.53752136,0.03,0,0.00,"0.00
"
1528162286.203374,-121.74813079,38.53752136,0.01,0,0.00,"0.00
"
1528162286.7201266,-121.74813079,38.53752136,0.02,0,0.00,"0.65
"
1528162287.2354624,-121.74813079,38.53752136,0.02,0,0.00,"0.65
"
1528162287.7473524,-121.74813079,38.53751754,0.05,0,0.00,"0.65
"
1528162288.2643032,-121.74813079,38.53751754,0.05,0,0.00,"0.65
"
1528162288.7795973,-121.74813079,38.53751754,0.01,0,0.00,"0.65
"
1528162289.2915142,-121.74813079,38.53751754,0.01,0,0.00,"0.65
"
1528162289.8079073,-121.74813079,38.53751373,0.02,0,0.00,"0.00
"
1528162290.3229847,-121.74813079,38.53751373,0.02,0,0.00,"0.00
"
1528162290.8398292,-121.74813079,38.53751373,0.02,0,0.00,"0.00
"
1528162291.3552454,-121.74813079,38.53751373,0.00,0,0.00,"0.00
"
1528162291.868482,-121.74813079,38.53751373,0.00,0,0.00,"0.00
"
1528162292.383851,-121.74813079,38.53751373,0.00,0,0.00,"0.00
"
1528162292.8989305,-121.74813079,38.53751373,0.07,0,0.00,"0.00
"
1528162293.4159245,-121.74813079,38.53751373,0.07,0,0.00,"0.00
"
1528162293.9278295,-121.74813079,38.53751373,0.01,0,0.00,"0.00
"
1528162294.4445431,-121.74813079,38.53751373,0.01,0,0.00,"0.00
"
1528162294.9599073,-121.74813079,38.53751373,0.03,0,0.00,"0.00
"
